"","consent1","consent2","consent3","freediscount","paydiscount","fakeemail","likely1","likely2","likely3","likely4","annoyed1","annoyed2","annoyed3","annoyed4","control","reasonable1","reasonable2","reasonable3","reasonable4","reasonable5","reasonable6","reasonable7","reasonable8","reasonable9","comfortable1","comfortable2","comfortable3","comfortable4","comfortable5","comfortable6","comfortable7","comfortable8","comfortable9","ac","comfortable10","gender","age","comments","Condition","annoyed","likely","likelyy","annoyedsum","likelysum","likelysumm","discount","female","female2","discount2"
"263","Yes","Yes","Yes",78,0,6,6,7,6,4,4,7,6,3,6,6,7,4,6,7,5,6,5,4,7,7,2,3,5,6,4,5,4,"Somewhat flexible",5,"Male",32,"","1",5,5.75,5.75,20,23,23,78,0,0,78
"264","Yes","Yes","Yes",0,20,3,7,4,7,5,1,3,5,7,2,3,6,6,3,1,5,1,1,1,5,6,6,5,1,4,1,1,1,"Somewhat flexible",3,"Female",38,"","2",4,5.75,5.75,16,23,23,20,1,1,20
"265","Yes","Yes","Yes",500,0,7,5,7,6,6,6,5,7,5,6,5,5,6,7,7,7,6,7,6,7,6,7,7,6,5,5,6,6,"Somewhat flexible",7,"Male",29,"","1",5.75,6,6,23,24,24,500,0,0,500
"266","Yes","Yes","Yes",500,0,6,6,6,7,6,6,6,5,6,5,7,5,7,7,6,6,7,6,7,7,7,7,7,6,5,7,6,6,"Somewhat flexible",6,"Male",35,"","1",5.75,6.25,6.25,23,25,25,500,0,0,500
"267","Yes","Yes","Yes",0,5,4,5,3,4,4,4,4,5,2,6,3,2,4,2,4,5,4,3,2,7,7,2,7,3,3,5,7,3,"Somewhat flexible",3,"Male",33,"","2",3.75,4,4,15,16,16,5,0,0,5
"268","Yes","Yes","Yes",0,3,3,3,5,5,6,3,4,4,5,5,5,6,4,6,1,1,1,1,3,2,2,3,1,1,1,1,1,1,"Somewhat flexible",7,"Male",33,"","2",4,4.75,4.75,16,19,19,3,0,0,3
"269","Yes","Yes","Yes",100,0,4,5,2,3,3,4,4,6,2,4,6,3,4,4,5,3,6,6,6,5,4,5,2,4,5,2,6,5,"Somewhat flexible",5,"Male",25,"","1",4,3.25,3.25,16,13,13,100,0,0,100
"270","Yes","Yes","Yes",10,0,1,7,7,7,7,5,6,7,7,1,6,7,6,2,1,2,6,5,7,5,6,7,2,1,1,4,7,7,"Somewhat flexible",4,"Male",49,"","1",6.25,7,7,25,28,28,10,0,0,10
"271","Yes","Yes","Yes",0,20,1,7,4,7,7,2,4,6,6,2,4,6,4,4,1,4,1,1,1,2,6,6,4,1,2,1,1,1,"Somewhat flexible",4,"Male",40,"","2",4.5,6.25,6.25,18,25,25,20,0,0,20
"272","Yes","Yes","Yes",50,0,2,6,7,5,6,6,6,5,6,5,6,6,6,6,7,5,6,5,6,6,5,6,6,6,7,6,5,6,"Somewhat flexible",6,"Male",42,"","1",5.75,6,6,23,24,24,50,0,0,50
